Date,casual,registered
01/07/2011 12:00:00,3,92
01/07/2011 13:00:00,1,50
01/07/2011 14:00:00,0,39
01/07/2011 15:00:00,2,34
01/07/2011 16:00:00,1,14
01/08/2011 17:00:00,1,24
01/08/2011 18:00:00,1,15
01/08/2011 19:00:00,3,13
01/08/2011 20:00:00,0,7
01/08/2011 21:00:00,0,1
01/08/2011 22:00:00,0,5
01/08/2011 23:00:00,0,2
01/08/2011 00:00:00,1,8
01/08/2011 01:00:00,0,15
01/08/2011 02:00:00,0,20
01/08/2011 03:00:00,5,56
01/08/2011 04:00:00,2,60
01/08/2011 05:00:00,8,90
01/08/2011 06:00:00,7,95
01/08/2011 07:00:00,12,83
01/08/2011 08:00:00,5,69
01/08/2011 09:00:00,8,68
01/08/2011 10:00:00,5,64
01/08/2011 11:00:00,3,52
01/08/2011 12:00:00,4,26
01/08/2011 13:00:00,0,28
01/08/2011 14:00:00,2,35
01/08/2011 15:00:00,1,33
01/08/2011 16:00:00,0,22
01/09/2011 17:00:00,1,24
01/09/2011 18:00:00,0,12
01/09/2011 19:00:00,0,11
01/09/2011 20:00:00,0,4
01/09/2011 21:00:00,0,1
01/09/2011 22:00:00,0,1
01/09/2011 23:00:00,0,1
01/09/2011 00:00:00,1,5
01/09/2011 01:00:00,0,10
01/09/2011 02:00:00,0,19
01/09/2011 03:00:00,0,49
01/09/2011 04:00:00,2,47
01/09/2011 05:00:00,4,79
01/09/2011 06:00:00,6,69
01/09/2011 07:00:00,8,64
01/09/2011 08:00:00,5,77
01/09/2011 09:00:00,13,79
01/09/2011 10:00:00,3,59
01/09/2011 11:00:00,4,44
01/09/2011 12:00:00,1,40
01/09/2011 13:00:00,0,38
01/09/2011 14:00:00,1,19
01/09/2011 15:00:00,5,10
01/09/2011 16:00:00,0,6
01/10/2011 17:00:00,2,3
01/10/2011 18:00:00,1,0
01/10/2011 19:00:00,0,3
01/10/2011 20:00:00,0,1
01/10/2011 21:00:00,1,2
01/10/2011 22:00:00,0,3
01/10/2011 23:00:00,0,31
01/10/2011 00:00:00,2,75
01/10/2011 01:00:00,4,184
01/10/2011 02:00:00,2,92
01/10/2011 03:00:00,0,31
01/10/2011 04:00:00,2,28
01/10/2011 05:00:00,5,47
01/10/2011 06:00:00,4,50
01/10/2011 07:00:00,0,47
01/10/2011 08:00:00,2,43
01/10/2011 09:00:00,4,70
01/10/2011 10:00:00,4,174
01/10/2011 11:00:00,1,154
01/10/2011 12:00:00,3,92
01/10/2011 13:00:00,1,73
01/10/2011 14:00:00,1,37
01/10/2011 15:00:00,2,22
01/10/2011 16:00:00,0,18
01/11/2011 17:00:00,2,10
01/11/2011 18:00:00,0,3
01/11/2011 19:00:00,0,3
01/11/2011 20:00:00,0,6
01/11/2011 21:00:00,0,27
01/11/2011 22:00:00,2,97
01/11/2011 23:00:00,3,214
01/11/2011 00:00:00,3,127
01/11/2011 01:00:00,3,51
01/11/2011 02:00:00,4,31
01/11/2011 03:00:00,2,55
01/11/2011 04:00:00,6,46
01/11/2011 05:00:00,3,60
01/11/2011 06:00:00,2,45
01/11/2011 07:00:00,4,72
01/11/2011 08:00:00,6,130
01/11/2011 09:00:00,1,94
01/11/2011 10:00:00,0,51
01/11/2011 11:00:00,0,32
01/11/2011 12:00:00,0,20
01/11/2011 13:00:00,1,28
01/11/2011 14:00:00,1,18
01/12/2011 15:00:00,0,7
01/12/2011 16:00:00,0,6
01/12/2011 17:00:00,0,1
01/12/2011 18:00:00,0,5
01/12/2011 19:00:00,0,16
01/12/2011 20:00:00,0,54
01/12/2011 21:00:00,3,125
01/12/2011 22:00:00,3,78
01/12/2011 23:00:00,0,39
01/12/2011 00:00:00,3,32
01/12/2011 01:00:00,3,52
01/12/2011 02:00:00,0,49
01/12/2011 03:00:00,0,44
01/12/2011 04:00:00,1,48
01/12/2011 05:00:00,5,63
01/12/2011 06:00:00,0,139
01/12/2011 07:00:00,2,135
01/12/2011 08:00:00,1,82
01/12/2011 09:00:00,2,54
01/12/2011 10:00:00,0,57
01/12/2011 11:00:00,1,32
01/12/2011 12:00:00,1,19
01/13/2011 13:00:00,1,6
01/13/2011 14:00:00,0,2
01/13/2011 15:00:00,0,2
01/13/2011 16:00:00,0,3
01/13/2011 17:00:00,0,4
01/13/2011 18:00:00,0,3
01/13/2011 19:00:00,0,28
01/13/2011 20:00:00,0,72
01/13/2011 21:00:00,5,197
01/13/2011 22:00:00,2,137
01/13/2011 23:00:00,2,36
01/13/2011 00:00:00,4,33
01/13/2011 01:00:00,3,49
01/13/2011 02:00:00,2,81
01/13/2011 03:00:00,3,39
01/13/2011 04:00:00,5,55
01/13/2011 05:00:00,2,76
01/13/2011 06:00:00,4,158
01/13/2011 07:00:00,3,141
01/13/2011 08:00:00,1,98
01/13/2011 09:00:00,0,64
01/13/2011 10:00:00,0,40
01/13/2011 11:00:00,0,30
01/13/2011 12:00:00,1,14
01/14/2011 13:00:00,0,14
01/14/2011 14:00:00,0,5
01/14/2011 15:00:00,0,1
01/14/2011 16:00:00,0,1
01/14/2011 17:00:00,0,8
01/14/2011 18:00:00,0,17
01/14/2011 19:00:00,0,70
01/14/2011 20:00:00,2,156
01/14/2011 21:00:00,0,117
01/14/2011 22:00:00,4,40
01/14/2011 23:00:00,6,47
01/14/2011 00:00:00,2,59
01/14/2011 01:00:00,4,73
01/14/2011 02:00:00,5,59
01/14/2011 03:00:00,9,59
01/14/2011 04:00:00,3,87
01/14/2011 05:00:00,4,155
01/14/2011 06:00:00,5,134
01/14/2011 07:00:00,3,89
01/14/2011 08:00:00,0,68
01/14/2011 09:00:00,4,48
01/14/2011 10:00:00,2,34
01/14/2011 11:00:00,1,26
01/15/2011 12:00:00,3,25
01/15/2011 13:00:00,2,18
01/15/2011 14:00:00,0,12
01/15/2011 15:00:00,1,7
01/15/2011 16:00:00,0,5
01/15/2011 17:00:00,0,1
01/15/2011 18:00:00,1,2
01/15/2011 19:00:00,1,9
01/15/2011 20:00:00,1,22
01/15/2011 21:00:00,2,31
01/15/2011 22:00:00,2,57
01/15/2011 23:00:00,18,54
01/15/2011 00:00:00,15,74
01/15/2011 01:00:00,21,80
01/15/2011 02:00:00,26,92
01/15/2011 03:00:00,21,108
01/15/2011 04:00:00,33,95
01/15/2011 05:00:00,29,54
01/15/2011 06:00:00,15,69
01/15/2011 07:00:00,14,60
01/15/2011 08:00:00,6,35
01/15/2011 09:00:00,6,51
01/15/2011 10:00:00,0,26
01/15/2011 11:00:00,5,39
01/16/2011 12:00:00,6,33
01/16/2011 13:00:00,4,19
01/16/2011 14:00:00,3,13
01/16/2011 15:00:00,9,6
01/16/2011 16:00:00,0,1
01/16/2011 17:00:00,1,1
01/16/2011 18:00:00,0,1
01/16/2011 19:00:00,0,3
01/16/2011 20:00:00,0,18
01/16/2011 21:00:00,3,29
01/16/2011 22:00:00,8,71
01/16/2011 23:00:00,23,70
01/16/2011 00:00:00,29,75
01/16/2011 01:00:00,23,95
01/16/2011 02:00:00,22,69
01/16/2011 03:00:00,35,78
01/16/2011 04:00:00,22,77
01/16/2011 05:00:00,23,82
01/16/2011 06:00:00,11,56
01/16/2011 07:00:00,14,47
01/16/2011 08:00:00,7,50
01/16/2011 09:00:00,6,22
01/16/2011 10:00:00,2,19
01/16/2011 11:00:00,0,18
01/17/2011 12:00:00,1,16
01/17/2011 13:00:00,1,15
01/17/2011 14:00:00,0,8
01/17/2011 15:00:00,0,2
01/17/2011 16:00:00,1,2
01/17/2011 17:00:00,0,1
01/17/2011 18:00:00,0,5
01/17/2011 19:00:00,4,9
01/17/2011 20:00:00,3,30
01/17/2011 21:00:00,8,39
01/17/2011 22:00:00,7,50
01/17/2011 23:00:00,9,55
01/17/2011 00:00:00,10,70
01/17/2011 01:00:00,13,80
01/17/2011 02:00:00,12,74
01/17/2011 03:00:00,21,72
01/17/2011 04:00:00,6,76
01/17/2011 05:00:00,4,67
01/17/2011 06:00:00,7,85
01/17/2011 07:00:00,2,58
01/17/2011 08:00:00,4,29
01/17/2011 09:00:00,3,24
01/17/2011 10:00:00,0,13
01/17/2011 11:00:00,1,3
01/18/2011 12:00:00,0,3
01/18/2011 13:00:00,0,22
01/18/2011 14:00:00,2,26
01/18/2011 15:00:00,3,32
01/18/2011 16:00:00,0,61
01/18/2011 17:00:00,1,124
01/18/2011 18:00:00,1,132
01/18/2011 19:00:00,1,98
01/18/2011 20:00:00,0,83
01/18/2011 21:00:00,0,41
01/18/2011 22:00:00,0,33
01/18/2011 23:00:00,1,19
01/19/2011 00:00:00,0,3
01/19/2011 01:00:00,1,6
01/19/2011 02:00:00,0,3
01/19/2011 03:00:00,1,1
01/19/2011 04:00:00,0,7
01/19/2011 05:00:00,0,32
01/19/2011 06:00:00,1,89
01/19/2011 07:00:00,1,196
01/19/2011 08:00:00,2,107
01/19/2011 09:00:00,1,46
01/19/2011 10:00:00,5,47
01/19/2011 11:00:00,5,65
01/19/2011 12:00:00,11,67
01/19/2011 13:00:00,7,68
01/19/2011 14:00:00,4,78
01/19/2011 15:00:00,10,94
01/19/2011 16:00:00,7,190
01/19/2011 17:00:00,5,156
01/19/2011 18:00:00,4,108
01/19/2011 19:00:00,2,74
01/19/2011 20:00:00,4,55
01/19/2011 21:00:00,6,53
01/19/2011 22:00:00,1,27
01/20/2011 23:00:00,5,8
01/20/2011 00:00:00,2,3
01/20/2011 01:00:00,0,2
01/20/2011 02:00:00,0,1
01/20/2011 03:00:00,0,1
01/20/2011 04:00:00,0,6
01/20/2011 05:00:00,0,35
01/20/2011 06:00:00,1,100
01/20/2011 07:00:00,2,247
01/20/2011 08:00:00,3,140
01/20/2011 09:00:00,1,56
01/20/2011 10:00:00,5,63
01/20/2011 11:00:00,7,77
01/20/2011 12:00:00,12,86
01/20/2011 13:00:00,6,75
01/20/2011 14:00:00,8,62
01/20/2011 15:00:00,8,83
01/20/2011 16:00:00,8,207
01/20/2011 17:00:00,1,184
01/20/2011 18:00:00,6,146
01/20/2011 19:00:00,2,124
01/20/2011 20:00:00,3,54
01/20/2011 21:00:00,0,56
01/20/2011 22:00:00,3,28
01/21/2011 23:00:00,1,20
01/21/2011 00:00:00,0,6
01/21/2011 01:00:00,0,2
01/21/2011 02:00:00,0,1
01/21/2011 03:00:00,0,1
01/21/2011 04:00:00,1,4
01/21/2011 05:00:00,0,27
01/21/2011 06:00:00,2,66
01/21/2011 07:00:00,7,210
01/21/2011 08:00:00,7,159
01/21/2011 09:00:00,6,57
01/21/2011 10:00:00,6,53
01/21/2011 11:00:00,11,67
01/21/2011 12:00:00,8,65
01/21/2011 13:00:00,6,56
01/21/2011 14:00:00,4,61
01/21/2011 15:00:00,0,97
01/21/2011 16:00:00,10,151
01/21/2011 17:00:00,1,119
01/21/2011 18:00:00,3,93
01/21/2011 19:00:00,1,52
01/21/2011 20:00:00,0,41
01/21/2011 21:00:00,1,33
01/21/2011 22:00:00,0,27
01/22/2011 23:00:00,0,13
01/22/2011 00:00:00,3,9
01/22/2011 01:00:00,0,11
01/22/2011 02:00:00,1,6
01/22/2011 03:00:00,0,3
01/22/2011 04:00:00,0,2
01/22/2011 05:00:00,0,8
01/22/2011 06:00:00,1,26
01/22/2011 07:00:00,3,37
01/22/2011 08:00:00,3,50
01/22/2011 09:00:00,4,59
01/22/2011 10:00:00,10,60
01/22/2011 11:00:00,12,72
01/22/2011 12:00:00,11,64
01/22/2011 13:00:00,10,93
01/22/2011 14:00:00,11,72
01/22/2011 15:00:00,8,59
01/22/2011 16:00:00,0,54
01/22/2011 17:00:00,6,53
01/22/2011 18:00:00,1,44
01/22/2011 19:00:00,0,39
01/22/2011 20:00:00,7,23
01/22/2011 21:00:00,2,31
01/23/2011 22:00:00,2,20
01/23/2011 23:00:00,1,12
01/23/2011 00:00:00,3,15
01/23/2011 01:00:00,1,4
01/23/2011 02:00:00,0,3
01/23/2011 03:00:00,0,1
01/23/2011 04:00:00,1,1
01/23/2011 05:00:00,2,17
01/23/2011 06:00:00,3,25
01/23/2011 07:00:00,7,51
01/23/2011 08:00:00,22,77
01/23/2011 09:00:00,24,92
01/23/2011 10:00:00,12,75
01/23/2011 11:00:00,17,93
01/23/2011 12:00:00,13,64
01/23/2011 13:00:00,9,56
01/23/2011 14:00:00,5,50
01/23/2011 15:00:00,5,44
01/23/2011 16:00:00,5,45
01/23/2011 17:00:00,4,31
01/23/2011 18:00:00,5,20
01/23/2011 19:00:00,5,23
01/23/2011 20:00:00,4,17
01/24/2011 21:00:00,0,7
01/24/2011 22:00:00,0,1
01/24/2011 23:00:00,0,1
01/24/2011 00:00:00,0,1
01/24/2011 01:00:00,0,5
01/24/2011 02:00:00,0,15
01/24/2011 03:00:00,5,79
01/24/2011 04:00:00,6,171
01/24/2011 05:00:00,4,98
01/24/2011 06:00:00,6,34
01/24/2011 07:00:00,3,43
01/24/2011 08:00:00,11,52
01/24/2011 09:00:00,6,54
01/24/2011 10:00:00,2,43
01/24/2011 11:00:00,7,50
01/24/2011 12:00:00,4,66
01/24/2011 13:00:00,6,178
01/24/2011 14:00:00,8,145
01/24/2011 15:00:00,5,101
01/24/2011 16:00:00,1,80
01/24/2011 17:00:00,6,53
01/24/2011 18:00:00,3,32
01/24/2011 19:00:00,3,21
01/25/2011 20:00:00,3,6
01/25/2011 21:00:00,0,5
01/25/2011 22:00:00,0,2
01/25/2011 23:00:00,0,1
01/25/2011 00:00:00,0,9
01/25/2011 01:00:00,1,35
01/25/2011 02:00:00,5,103
01/25/2011 03:00:00,5,233
01/25/2011 04:00:00,10,134
01/25/2011 05:00:00,6,49
01/25/2011 06:00:00,6,55
01/25/2011 07:00:00,21,85
01/25/2011 08:00:00,21,72
01/25/2011 09:00:00,11,57
01/25/2011 10:00:00,21,63
01/25/2011 11:00:00,14,102
01/25/2011 12:00:00,14,208
01/25/2011 13:00:00,7,218
01/25/2011 14:00:00,13,133
01/25/2011 15:00:00,16,103
01/25/2011 16:00:00,5,40
01/25/2011 17:00:00,4,49
01/25/2011 18:00:00,3,37
01/26/2011 19:00:00,3,14
01/26/2011 20:00:00,0,5
01/26/2011 21:00:00,3,7
01/26/2011 22:00:00,0,1
01/26/2011 23:00:00,0,8
01/26/2011 00:00:00,1,29
01/26/2011 01:00:00,3,69
01/26/2011 02:00:00,3,55
01/26/2011 03:00:00,2,26
01/26/2011 04:00:00,6,35
01/26/2011 05:00:00,7,41
01/26/2011 06:00:00,4,43
01/26/2011 07:00:00,0,36
01/26/2011 08:00:00,1,42
01/26/2011 09:00:00,1,35
01/26/2011 10:00:00,0,26
01/27/2011 11:00:00,1,23
01/27/2011 12:00:00,2,82
01/27/2011 13:00:00,3,101
01/27/2011 14:00:00,3,76
01/27/2011 15:00:00,4,55
01/27/2011 16:00:00,2,36
01/27/2011 17:00:00,0,27
01/27/2011 18:00:00,0,16
01/28/2011 19:00:00,0,9
01/28/2011 20:00:00,1,2
01/28/2011 21:00:00,0,2
01/28/2011 22:00:00,1,0
01/28/2011 23:00:00,0,4
01/28/2011 00:00:00,0,16
01/28/2011 01:00:00,2,58
01/28/2011 02:00:00,2,155
01/28/2011 03:00:00,6,95
01/28/2011 04:00:00,0,49
01/28/2011 05:00:00,0,30
01/28/2011 06:00:00,1,28
01/28/2011 07:00:00,0,31
01/28/2011 08:00:00,2,36
01/28/2011 09:00:00,1,40
01/28/2011 10:00:00,10,70
01/28/2011 11:00:00,2,147
01/28/2011 12:00:00,2,107
01/28/2011 13:00:00,5,84
01/28/2011 14:00:00,1,61
01/28/2011 15:00:00,1,57
01/28/2011 16:00:00,0,26
01/28/2011 17:00:00,1,22
01/29/2011 18:00:00,2,26
01/29/2011 19:00:00,0,20
01/29/2011 20:00:00,0,15
01/29/2011 21:00:00,3,5
01/29/2011 22:00:00,1,2
01/29/2011 23:00:00,0,2
01/29/2011 00:00:00,1,4
01/29/2011 01:00:00,3,31
01/29/2011 02:00:00,0,34
01/29/2011 03:00:00,4,51
01/29/2011 04:00:00,4,60
01/29/2011 05:00:00,12,66
01/29/2011 06:00:00,9,56
01/29/2011 07:00:00,10,89
01/29/2011 08:00:00,22,98
01/29/2011 09:00:00,19,88
01/29/2011 10:00:00,9,82
01/29/2011 11:00:00,9,59
01/29/2011 12:00:00,6,52
01/29/2011 13:00:00,1,42
01/29/2011 14:00:00,1,35
01/29/2011 15:00:00,4,28
01/29/2011 16:00:00,3,30
01/30/2011 17:00:00,0,33
01/30/2011 18:00:00,7,22
01/30/2011 19:00:00,1,10
01/30/2011 20:00:00,1,7
01/30/2011 21:00:00,0,1
01/30/2011 22:00:00,0,3
01/30/2011 23:00:00,0,3
01/30/2011 00:00:00,1,11
01/30/2011 01:00:00,4,34
01/30/2011 02:00:00,7,57
01/30/2011 03:00:00,9,50
01/30/2011 04:00:00,10,87
01/30/2011 05:00:00,13,71
01/30/2011 06:00:00,18,104
01/30/2011 07:00:00,14,95
01/30/2011 08:00:00,19,104
01/30/2011 09:00:00,6,71
01/30/2011 10:00:00,8,57
01/30/2011 11:00:00,9,46
01/30/2011 12:00:00,3,30
01/30/2011 13:00:00,3,25
01/30/2011 14:00:00,2,19
01/30/2011 15:00:00,5,16
01/31/2011 16:00:00,1,6
01/31/2011 17:00:00,2,5
01/31/2011 18:00:00,0,1
01/31/2011 19:00:00,0,2
01/31/2011 20:00:00,0,2
01/31/2011 21:00:00,0,8
01/31/2011 22:00:00,0,37
01/31/2011 23:00:00,1,71
01/31/2011 00:00:00,3,182
01/31/2011 01:00:00,0,112
01/31/2011 02:00:00,1,68
01/31/2011 03:00:00,2,46
01/31/2011 04:00:00,6,62
01/31/2011 05:00:00,2,52
01/31/2011 06:00:00,1,85
01/31/2011 07:00:00,3,41
01/31/2011 08:00:00,3,83
01/31/2011 09:00:00,6,155
01/31/2011 10:00:00,3,153
01/31/2011 11:00:00,3,108
01/31/2011 12:00:00,0,78
01/31/2011 13:00:00,3,53
01/31/2011 14:00:00,0,34
01/31/2011 15:00:00,2,15
02/01/2011 16:00:00,2,6
02/01/2011 17:00:00,0,3
02/01/2011 18:00:00,0,2
02/01/2011 19:00:00,0,2
02/01/2011 20:00:00,0,3
02/01/2011 21:00:00,0,22
02/01/2011 22:00:00,0,52
02/01/2011 23:00:00,3,132
02/01/2011 00:00:00,2,114
02/01/2011 01:00:00,0,47
02/01/2011 02:00:00,2,49
02/01/2011 03:00:00,2,53
02/01/2011 04:00:00,3,49
02/01/2011 05:00:00,5,49
02/01/2011 06:00:00,7,45
02/01/2011 07:00:00,3,61
02/01/2011 08:00:00,4,172
02/01/2011 09:00:00,3,165
02/01/2011 10:00:00,3,105
02/01/2011 11:00:00,5,69
02/01/2011 12:00:00,0,64
02/01/2011 13:00:00,2,34
02/01/2011 14:00:00,1,15
02/02/2011 15:00:00,0,2
02/02/2011 16:00:00,0,3
02/02/2011 17:00:00,4,0
02/02/2011 18:00:00,0,1
02/02/2011 19:00:00,0,1
02/02/2011 20:00:00,0,3
02/02/2011 21:00:00,1,17
02/02/2011 22:00:00,1,48
02/02/2011 23:00:00,1,154
02/02/2011 00:00:00,4,119
02/02/2011 01:00:00,2,59
02/02/2011 02:00:00,5,47
02/02/2011 03:00:00,3,61
02/02/2011 04:00:00,1,74
02/02/2011 05:00:00,2,61
02/02/2011 06:00:00,10,66
02/02/2011 07:00:00,8,95
02/02/2011 08:00:00,7,183
02/02/2011 09:00:00,7,175
02/02/2011 10:00:00,3,88
02/02/2011 11:00:00,4,71
02/02/2011 12:00:00,1,62
02/02/2011 13:00:00,5,35
02/02/2011 14:00:00,3,29
02/03/2011 15:00:00,1,11
02/03/2011 16:00:00,0,5
02/03/2011 17:00:00,0,2
02/03/2011 18:00:00,0,1
02/03/2011 19:00:00,0,2
02/03/2011 20:00:00,0,39
02/03/2011 21:00:00,1,86
02/03/2011 22:00:00,4,184
02/03/2011 23:00:00,6,127
02/03/2011 00:00:00,2,50
02/03/2011 01:00:00,9,55
02/03/2011 02:00:00,2,67
02/03/2011 03:00:00,4,47
02/03/2011 04:00:00,4,43
02/03/2011 05:00:00,4,56
02/03/2011 06:00:00,5,73
02/03/2011 07:00:00,5,170
02/03/2011 08:00:00,2,145
02/03/2011 09:00:00,4,92
02/03/2011 10:00:00,1,108
02/03/2011 11:00:00,1,53
02/03/2011 12:00:00,2,39
02/03/2011 13:00:00,4,34
02/04/2011 14:00:00,3,10
02/04/2011 15:00:00,0,7
02/04/2011 16:00:00,0,1
02/04/2011 17:00:00,0,1
02/04/2011 18:00:00,0,7
02/04/2011 19:00:00,2,26
02/04/2011 20:00:00,0,87
02/04/2011 21:00:00,3,217
02/04/2011 22:00:00,3,124
02/04/2011 23:00:00,5,46
02/04/2011 00:00:00,3,61
02/04/2011 01:00:00,8,78
02/04/2011 02:00:00,9,73
02/04/2011 03:00:00,15,76
02/04/2011 04:00:00,9,81
02/04/2011 05:00:00,8,91
02/04/2011 06:00:00,10,195
02/04/2011 07:00:00,3,152
02/04/2011 08:00:00,1,102
02/04/2011 09:00:00,2,69
02/04/2011 10:00:00,2,41
02/04/2011 11:00:00,1,45
02/04/2011 12:00:00,1,30
02/05/2011 13:00:00,3,36
02/05/2011 14:00:00,1,17
02/05/2011 15:00:00,5,12
02/05/2011 16:00:00,1,10
02/05/2011 17:00:00,0,8
02/05/2011 18:00:00,0,9
02/05/2011 19:00:00,0,4
02/05/2011 20:00:00,0,4
02/05/2011 21:00:00,0,10
02/05/2011 22:00:00,3,17
02/05/2011 23:00:00,3,31
02/05/2011 00:00:00,1,46
02/05/2011 01:00:00,10,42
02/05/2011 02:00:00,10,62
02/05/2011 03:00:00,5,50
02/05/2011 04:00:00,11,49
02/05/2011 05:00:00,8,63
02/05/2011 06:00:00,14,64
02/05/2011 07:00:00,2,81
02/05/2011 08:00:00,6,78
02/05/2011 09:00:00,5,64
02/05/2011 10:00:00,3,53
02/05/2011 11:00:00,2,43
02/05/2011 12:00:00,7,52
02/06/2011 13:00:00,2,37
02/06/2011 14:00:00,4,40
02/06/2011 15:00:00,0,20
02/06/2011 16:00:00,3,10
02/06/2011 17:00:00,0,2
02/06/2011 18:00:00,0,1
02/06/2011 19:00:00,0,1
02/06/2011 20:00:00,0,8
02/06/2011 21:00:00,2,21
02/06/2011 22:00:00,7,38
02/06/2011 23:00:00,15,74
02/06/2011 00:00:00,28,89
02/06/2011 01:00:00,48,126
02/06/2011 02:00:00,47,135
02/06/2011 03:00:00,47,114
02/06/2011 04:00:00,52,130
02/06/2011 05:00:00,42,115
